gameId,gameName,gameType,gameClubId,thirdPartyId,serverId,imagePath,imageName,active,localizationCode,categoryIdList,sort,mType,gType,code
"59","賞金船長","3","16","AE","2000000028","AMEBA","59","True","AE_59","1,2","1","0","0",""
"57","麻將胡了2","3","16","AE","2000000028","AMEBA","57","True","AE_57","1,2,4","2","0","0",""
"56","麻將胡了","3","16","AE","2000000028","AMEBA","56","True","AE_56","1,2,4","3","0","0",""
"58","賞金大對決","3","16","AE","2000000028","AMEBA","58","True","AE_58","1,2,4","4","0","0",""
"25","一本萬利","3","16","AE","2000000028","AMEBA","25","True","AE_25","1,2,4","5","0","0",""
"4","爆炸糖","3","16","AE","2000000028","AMEBA","4","True","AE_4","1,2,4","6","0","0"," "
"28","招財進寶","3","16","AE","2000000028","AMEBA","28","True","AE_28","1,2,4","7","0","0",""
"8","爆炸糖2","3","16","AE","2000000028","AMEBA","8","True","AE_8","1,2,4","8","0","0"," "
"40","糖果瘋爆","3","16","AE","2000000028","AMEBA","40","True","AE_40","1,2,4","9","0","0",""
"55","一本贏萬利","3","16","AE","2000000028","AMEBA","55","True","AE_55","1,2","10","0","0",""
"2003","天降財神","3","16","AE","2000000028","AMEBA","2003","True","AE_2003","1,2","11","0","0",""
"19","一路發","3","16","AE","2000000028","AMEBA","19","True","AE_19","1,2","12","0","0",""
"3","777","3","16","AE","2000000028","AMEBA","3","True","AE_3","1,2","13","0","0"," "
"2009","斗轉星移","3","16","AE","2000000028","AMEBA","2009","True","AE_2009","1,2","14","0","0",""
"5","發發發","3","16","AE","2000000028","AMEBA","5","True","AE_5","1,2","15","0","0",""
"12","幸運骰","3","16","AE","2000000028","AMEBA","12","True","AE_12","1,2","16","0","0",""
"117","招財神獸","3","16","AE","2000000028","AMEBA","117","True","AE_117","1,2","17","0","0",""
"42","古怪猴子5000倍","3","16","AE","2000000028","AMEBA","42","True","AE_42","1,2","18","0","0"," "
"36","金獅賀歲","3","16","AE","2000000028","AMEBA","36","True","AE_36","1,2","19","0","0",""
"14","大熊貓","3","16","AE","2000000028","AMEBA","14","True","AE_14","1,2","20","0","0",""
"45","功夫猴子","3","16","AE","2000000028","AMEBA","45","True","AE_45","1,2","21","0","0"," "
"41","冰上曲棍球","3","16","AE","2000000028","AMEBA","41","True","AE_41","1,2","22","0","0"," "
"39","年年有餘","3","16","AE","2000000028","AMEBA","39","True","AE_39","1,2","23","0","0",""
"27","船長的寶藏","3","16","AE","2000000028","AMEBA","27","True","AE_27","1,2","24","0","0",""
"7","魔鑽","3","16","AE","2000000028","AMEBA","7","True","AE_7","1,2","25","0","0",""
"10","搖錢樹","3","16","AE","2000000028","AMEBA","10","True","AE_10","1,2","26","0","0",""
"22","海洋世界","3","16","AE","2000000028","AMEBA","22","True","AE_22","1,2","27","0","0"," "
"9","超級巨星","3","16","AE","2000000028","AMEBA","9","True","AE_9","1,2","28","0","0",""
"51","泰拳","3","16","AE","2000000028","AMEBA","51","True","AE_51","1,2","29","0","0"," "
"13","招財8","3","16","AE","2000000028","AMEBA","13","True","AE_13","1,2","30","0","0",""
"38","魔鑽2","3","16","AE","2000000028","AMEBA","38","True","AE_38","1,2","31","0","0",""
