id,gameType,thirdPartyId,clubType,name,active,localizationCode,deskDisplayName,imageName,imagePath,desk,categoryIdList,sort,serverId,style
49,1,IDN,other,Suwit,True,IDN_suwit, ,suwit,IDN,suwit,1,12,2000000026,4
49,1,IDN,other,Xoc Dia,True,IDN_xocdia, ,xocdia,IDN,xocdia,1,15,2000000026,4
49,1,IDN,baccarat,Baccarat 2,True,IDN_baccaratb, ,baccaratb,IDN,baccaratb,1,1,2000000026,4
49,1,IDN,baccarat,Baccarat 3,True,IDN_baccaratc, ,baccaratc,IDN,baccaratc,1,2,2000000026,4
49,1,IDN,baccarat,Europe Baccarat 1,True,IDN_baccaratd, ,baccaratd,IDN,baccaratd,1,3,2000000026,4
49,1,IDN,baccarat,Europe Baccarat 2,True,IDN_baccaratf, ,baccaratf,IDN,baccaratf,1,4,2000000026,4
49,1,IDN,baccarat,百家樂,True,IDN_baccarat, ,baccarat,IDN,baccarat,"1, 4",5,2000000026,4
49,1,IDN,DT,龍虎,True,IDN_dragontiger, ,dragontiger,IDN,dragontiger,"1, 4",6,2000000026,4
49,1,IDN,roulette,輪盤 2 快速桌,True,IDN_rlb, ,rlb,IDN,rlb,"1, 4",7,2000000026,4
49,1,IDN,other,6D 顏色,True,IDN_6dcolor, ,6dcolor,IDN,6dcolor,"1, 4",8,2000000026,4
49,1,IDN,other,24D 大獎,True,IDN_24db, ,24db,IDN,24db,"1, 4",9,2000000026,4
49,1,IDN,other,骰子狂熱 6,True,IDN_dice6b, ,dice6b,IDN,dice6b,"1, 4",10,2000000026,4
49,1,IDN,other,頭尾,True,IDN_headtail, ,headtail,IDN,headtail,1,11,2000000026,4
49,1,IDN,other,紅白,True,IDN_redwhite, ,redwhite,IDN,redwhite,1,13,2000000026,4
49,1,IDN,other,撲克骰子,True,IDN_pokerdice, ,pokerdice,IDN,pokerdice,1,14,2000000026,4
49,1,IDN,other,大富翁遊戲,True,IDN_mp, ,mp,IDN,mp,1,16,2000000026,4
